City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hanzhong,33.0728,107.0303,35.04,76,94,1.81,CN,1643928566
Boa Vista,2.8197,-60.6733,89.58,43,40,5.75,BR,1643928566
Onokhoy,51.932,108.0747,-20.45,99,54,2.75,RU,1643928567
Hilo,19.7297,-155.09,78.53,68,40,9.22,US,1643928314
Wahpeton,46.2652,-96.6059,-1.48,71,0,18.41,US,1643928569
Liverpool,53.4106,-2.9779,52.29,82,75,8.99,GB,1643928023
Muhafazat Lahij,13.1667,44.5833,69.17,75,0,3.74,YE,1643928570
Saint Paul Harbor,57.79,-152.4072,40.51,93,100,8.05,US,1643928570
Hobart,-42.8794,147.3294,63.1,61,75,1.01,AU,1643928570
Barrow,71.2906,-156.7887,-25.58,83,40,3.44,US,1643928571
Kānker,20.2719,81.4931,64.35,82,1,5.55,IN,1643928571
Ushuaia,-54.8,-68.3,46.06,66,75,19.57,AR,1643928412
Coquimbo,-29.9533,-71.3436,67.73,72,0,11.5,CL,1643928555
Port Elizabeth,-33.918,25.5701,67.1,72,96,13.11,ZA,1643928306
Maragogi,-9.0122,-35.2225,79.75,70,91,10.36,BR,1643928575
Mataura,-46.1927,168.8643,52.48,99,100,2.37,NZ,1643928472
Auki,-8.7676,160.7034,77.67,90,100,5.97,SB,1643928575
Rikitea,-23.1203,-134.9692,77.72,75,100,16.71,PF,1643928211
Katsuura,35.1333,140.3,42.19,62,99,9.8,JP,1643928578
Abhā,18.2164,42.5053,57.02,88,20,4.61,SA,1643928374
Dingle,10.9995,122.6711,75.09,92,95,8.25,PH,1643928580
Vaini,-21.2,-175.2,86.16,79,40,8.05,TO,1643928580
Taoudenni,22.6783,-3.9836,65.59,18,78,11.56,ML,1643928581
Vaitape,-16.5167,-151.75,81.01,72,59,15.86,PF,1643928582
Tyukhtet,56.5389,89.3011,10.45,95,100,6.76,RU,1643928582
Tasiilaq,65.6145,-37.6368,12.36,60,100,7.29,GL,1643928583
Bambous Virieux,-20.3428,57.7575,80.85,89,75,25.32,MU,1643928584
Saint George,37.1041,-113.5841,48.67,20,0,8.05,US,1643928316
Pevek,69.7008,170.3133,-17.63,94,11,2.1,RU,1643928584
Hermanus,-34.4187,19.2345,62.8,71,39,9.6,ZA,1643928585
Ribeira Grande,38.5167,-28.7,58.68,74,100,18.12,PT,1643928586
Magalia,39.8121,-121.5783,60.96,32,85,1.01,US,1643928586
Punta Arenas,-53.15,-70.9167,50.02,57,0,11.5,CL,1643928139
Mar del Plata,-38.0023,-57.5575,73.42,90,40,7.0,AR,1643928589
Atuona,-9.8,-139.0333,78.75,74,9,15.21,PF,1643928211
Busselton,-33.65,115.3333,79.05,36,39,7.96,AU,1643928590
Santa Fe,-31.6333,-60.7,82.02,68,58,1.99,AR,1643928590
Salinópolis,-0.6136,-47.3561,78.71,82,94,11.23,BR,1643928591
Kapaa,22.0752,-159.319,78.78,64,40,1.99,US,1643928591
Pacific Grove,36.6177,-121.9166,67.68,61,0,3.0,US,1643928592
Mil'kovo,54.7167,158.6167,17.6,92,100,9.13,RU,1643928592
Lensk,60.7253,114.9278,4.39,94,99,5.84,RU,1643928594
San Cristobal,7.7669,-72.225,78.98,51,78,1.19,VE,1643928313
Nebbi,2.4783,31.0889,74.34,40,100,5.77,UG,1643928595
Lebu,-37.6167,-73.65,61.54,88,93,12.17,CL,1643928478
Kirakira,-10.4544,161.9205,82.08,81,100,7.7,SB,1643928596
Skellefteå,64.7507,20.9528,-5.44,84,100,1.14,SE,1643928597
Yar-Sale,66.8333,70.8333,-13.56,100,94,4.81,RU,1643928598
Cape Town,-33.9258,18.4232,64.27,65,75,4.0,ZA,1643928599
Thompson,55.7435,-97.8558,-11.04,58,0,9.22,CA,1643928541
Richards Bay,-28.783,32.0377,78.55,92,71,12.03,ZA,1643928395
Gao,16.6362,1.637,63.59,15,4,13.96,ML,1643928601
Jamestown,42.097,-79.2353,27.09,69,100,8.01,US,1643928335
Mossamedes,-15.1961,12.1522,72.7,74,1,7.05,AO,1643928603
New Norfolk,-42.7826,147.0587,62.74,46,11,0.18,AU,1643928469
Hong Kong,22.2855,114.1577,54.32,79,91,1.99,HK,1643928354
Fukuechō,32.6881,128.8419,45.77,56,67,18.25,JP,1643928604
Carutapera,-1.195,-46.02,75.94,91,97,6.93,BR,1643928604
Vila do Maio,15.1333,-23.2167,75.99,79,0,14.38,CV,1643928604
Makkah al Mukarramah,21.4267,39.8261,72.25,84,63,4.34,SA,1643928605
Mahajanga,-15.7167,46.3167,82.42,83,40,8.05,MG,1643928606
Mudon,16.2578,97.7164,70.74,51,50,3.83,MM,1643928607
Port Hedland,-20.3167,118.5667,80.65,78,55,6.91,AU,1643928609
Provideniya,64.3833,-173.3,4.46,60,95,22.79,RU,1643928610
Neiafu,-18.65,-173.9833,81.28,89,75,9.22,TO,1643928610
Chokurdakh,70.6333,147.9167,-28.19,100,70,1.63,RU,1643928611
Toyoshina,36.2999,137.9011,26.31,83,97,1.95,JP,1643928611
Neuquén,-38.9516,-68.0591,87.69,25,75,19.57,AR,1643928612
Tuatapere,-46.1333,167.6833,52.83,94,100,4.16,NZ,1643928612
Longyearbyen,78.2186,15.6401,15.64,67,20,2.3,SJ,1643928614
Mahébourg,-20.4081,57.7,80.89,89,75,25.32,MU,1643928615
Srednekolymsk,67.45,153.6833,-38.25,100,43,0.92,RU,1643928616
Constitución,-35.3333,-72.4167,62.2,84,61,8.72,CL,1643928395
Cidreira,-30.1811,-50.2056,76.21,86,61,21.79,BR,1643928616
Kibala,9.1104,18.3463,76.95,15,0,4.61,TD,1643928617
Wilhelmshaven,53.5167,8.1333,44.62,90,100,12.73,DE,1643928326
Ponta Delgada,37.7333,-25.6667,61.5,77,20,17.27,PT,1643928619
Hithadhoo,-0.6,73.0833,81.18,72,90,8.32,MV,1643928620
Ji’an,27.1172,114.9793,39.24,90,100,4.36,CN,1643928620
Sibolga,1.7427,98.7792,73.83,88,58,3.98,ID,1643928621
Vestmannaeyjar,63.4427,-20.2734,25.43,69,8,27.67,IS,1643928621
Tura,25.5198,90.2201,60.24,57,74,3.13,IN,1643928622
Pilar,-9.5972,-35.9567,78.73,72,100,7.0,BR,1643928623
Bluff,-46.6,168.3333,52.81,87,100,5.28,NZ,1643928624
Bengkulu,-3.8004,102.2655,75.96,88,100,4.32,ID,1643928625
La Palma,33.8464,-118.0467,72.5,28,20,7.0,US,1643928625
Chui,-33.6971,-53.4616,74.55,91,90,12.03,UY,1643928627
Saskylakh,71.9167,114.0833,-16.73,97,99,1.1,RU,1643928627
Praia,14.9215,-23.5087,75.74,38,0,6.91,CV,1643928500
Okha,53.5739,142.9478,2.88,91,100,22.7,RU,1643928628
Nikolskoye,59.7035,30.7861,1.29,100,98,1.1,RU,1643928629
Yerofey Pavlovich,53.9667,121.9667,-14.62,95,71,4.09,RU,1643928629
Butaritari,3.0707,172.7902,82.11,74,24,15.32,KI,1643928630
Khani,41.9563,42.9566,35.17,73,75,8.32,GE,1643928631
San Patricio,28.017,-97.5169,37.49,77,100,20.07,US,1643928631
Khakhea,-24.6895,23.494,72.39,75,100,11.95,BW,1643928632
Ancud,-41.8697,-73.8203,65.23,93,65,7.29,CL,1643928410
Sitka,57.0531,-135.33,39.09,93,100,3.44,US,1643928632
Yellowknife,62.456,-114.3525,-20.58,80,0,5.75,CA,1643928633
Namatanai,-3.6667,152.4333,81.81,76,93,11.54,PG,1643928633
Sur,22.5667,59.5289,68.45,49,0,6.89,OM,1643928634
Cherskiy,68.75,161.3,-32.49,100,9,3.58,RU,1643928635
Kaitangata,-46.2817,169.8464,48.56,97,100,2.68,NZ,1643928635
Rio Grande,-32.035,-52.0986,76.89,86,21,8.3,BR,1643928394
Podgorodnyaya Pokrovka,51.8281,54.9874,23.16,91,100,7.9,RU,1643928636
Saint-Philippe,-21.3585,55.7679,78.35,95,100,37.96,RE,1643928636
Zhangaözen,43.3,52.8,42.42,50,81,19.62,KZ,1643928636
Albany,42.6001,-73.9662,40.75,92,100,4.0,US,1643928637
Deputatsky,69.3,139.9,-25.38,98,98,2.55,RU,1643928637
Port Hawkesbury,45.6169,-61.3485,43.79,96,100,3.0,CA,1643928637
Rock Sound,24.9,-76.2,74.05,65,52,19.42,BS,1643928638
Atherton,53.5237,-2.4935,51.89,81,92,4.0,GB,1643928638
Tefé,-3.3542,-64.7114,75.31,100,100,3.44,BR,1643928639
Salalah,17.0151,54.0924,72.36,33,2,8.25,OM,1643928639
San Quintín,30.4833,-115.95,60.69,48,2,9.17,MX,1643928371
Mayo,38.8876,-76.5119,55.13,95,100,1.01,US,1643928617
Palana,59.1167,159.9667,9.12,85,100,14.0,RU,1643928642
Norman Wells,65.282,-126.8329,-36.36,67,20,0.0,CA,1643928642
Kavaratti,10.5669,72.642,78.89,67,7,8.1,IN,1643928643
Pailón,-17.65,-62.75,87.48,74,46,9.93,BO,1643928643
Puri,19.8,85.85,70.32,69,10,16.17,IN,1643928643
Acapulco de Juárez,16.8634,-99.8901,84.02,65,20,4.61,MX,1643928393
Xining,36.6167,101.7667,12.2,57,23,2.1,CN,1643928645
Faanui,-16.4833,-151.75,80.96,72,60,15.75,PF,1643928647
Shellbrook,53.2168,-106.4011,-11.97,86,95,11.01,CA,1643928647
Hualmay,-11.0964,-77.6139,73.47,75,22,11.59,PE,1643928648
San Rafael,-34.6177,-68.3301,64.54,75,79,25.5,AR,1643928649
Sarh,9.1429,18.3923,76.91,15,0,4.61,TD,1643928650
Ponta do Sol,32.6667,-17.1,65.71,76,46,3.85,PT,1643928471
Isangel,-19.55,169.2667,84.31,84,75,4.61,VU,1643928654
Te Anau,-45.4167,167.7167,47.17,97,100,3.98,NZ,1643928654
Pisco,-13.7,-76.2167,73.45,68,0,24.16,PE,1643928656
Coyhaique,-45.5752,-72.0662,71.55,43,40,6.91,CL,1643928656
Tiarei,-17.5333,-149.3333,87.82,73,6,17.25,PF,1643928657
Koumac,-20.5667,164.2833,84.29,74,93,9.24,NC,1643928659
Little Current,45.9793,-81.9248,7.41,70,100,8.1,CA,1643928660
Kavieng,-2.5744,150.7967,81.54,76,96,7.29,PG,1643928661
Clyde River,70.4692,-68.5914,-9.17,77,100,36.82,CA,1643928661
Dikson,73.5069,80.5464,-14.26,98,99,5.7,RU,1643928548
Tessalit,20.1986,1.0114,61.52,14,55,12.55,ML,1643928663
Qaanaaq,77.484,-69.3632,-13.25,61,100,7.4,GL,1643928663
Kungurtug,50.5994,97.5228,-13.02,99,99,0.85,RU,1643928664
Grand Gaube,-20.0064,57.6608,81.0,84,100,13.0,MU,1643928664
Abu Dhabi,24.4667,54.3667,68.97,75,0,4.61,AE,1643928482
Riyadh,24.6877,46.7219,62.74,36,0,9.75,SA,1643928658
Shamary,57.3434,58.2199,25.3,98,100,2.17,RU,1643928665
East London,-33.0153,27.9116,70.79,84,100,14.25,ZA,1643928579
Aykhal,66.0,111.5,-21.08,100,100,2.15,RU,1643928667
Puerto Ayora,-0.7393,-90.3518,84.16,89,16,5.99,EC,1643928667
Laguna,38.421,-121.4238,63.64,48,0,0.0,US,1643928667
Wanlaweyn,2.6185,44.8938,76.37,68,67,13.8,SO,1643928668
Virginia Beach,36.8529,-75.978,68.22,66,100,10.36,US,1643927919
Arraial do Cabo,-22.9661,-42.0278,75.16,94,75,4.61,BR,1643928669
Pecos,31.4229,-103.4932,28.06,58,100,14.97,US,1643928670
Thinadhoo,0.5333,72.9333,81.37,73,83,11.34,MV,1643928650
Alofi,-19.0595,-169.9187,81.45,76,100,16.75,NU,1643928670
Arman',59.7,150.1667,4.05,74,34,10.85,RU,1643928671
Sangar,63.9242,127.4739,-25.85,99,100,2.28,RU,1643928672
Galveston,29.3669,-94.9669,41.0,87,100,10.0,US,1643928672
Bahawalpur,29.4,71.6833,52.02,70,0,8.61,PK,1643928558
Skjervøy,70.0311,20.9714,20.26,75,13,29.51,NO,1643928673
Lucapa,-8.4192,20.7447,63.5,99,99,1.83,AO,1643928674
Saint-Rémi,45.2668,-73.6159,21.99,78,100,1.01,CA,1643928675
Ixtapa,20.7,-105.2,75.22,77,91,7.0,MX,1643928675
Cabo San Lucas,22.8909,-109.9124,74.95,49,75,1.01,MX,1643928437
Banjarmasin,-3.3244,114.591,75.34,92,100,1.48,ID,1643928676
Iqaluit,63.7506,-68.5145,-11.47,64,75,10.36,CA,1643928513
Montrose,38.4166,-108.2673,18.81,45,74,5.5,US,1643928344
Pimenta Bueno,-11.6725,-61.1936,73.35,98,100,2.55,BR,1643928673
San Policarpo,12.1791,125.5072,79.66,86,91,17.65,PH,1643928534
Charters Towers,-20.1,146.2667,74.91,90,100,3.2,AU,1643928678
Kasongo-Lunda,-6.4667,16.8167,69.46,97,100,0.43,CD,1643928680
Geraldton,-28.7667,114.6,84.13,24,0,8.05,AU,1643928680
